1004355.txt;3;2;5;4;3;0;1;1.43975851;low
1007363.txt;2;2;5;4;5;0;2;1.16733328;low
1079196.txt;3;1;5;1;3;0;1;1.8823821600000004;high
1086343.txt;2;2;5;2;3;0;1;1.15453395;low
1096747.txt;2;1;1;5;5;0;1;0.7572738800000001;low
1109085.txt;3;0;5;3;5;0;5;2.2610822400000004;high
1164913.txt;3;1;3;3;4;0;1;1.5423283700000003;low
1174920.txt;2;1;5;4;3;0;2;1.25203102;low
1181356.txt;2;1;5;3;3;0;2;1.3319190900000002;low
1223368.txt;3;1;5;4;4;0;2;1.7561625700000005;high
1239289.txt;2;1;5;3;5;0;2;1.45018079;low
1249928.txt;3;4;5;4;4;0;2;1.1472842500000002;low
1321982.txt;2;2;5;3;1;0;2;1.01069795;low
1346734.txt;2;1;5;4;4;0;1;1.2568481;low
1365003.txt;3;1;5;3;3;0;3;1.8312335600000003;high
1388870.txt;3;2;3;3;5;0;4;1.56144109;low
1392946.txt;3;2;5;4;3;0;3;1.54838605;low
1394540.txt;2;1;5;3;5;0;1;1.39586702;low
1414676.txt;3;0;5;3;5;0;2;2.0981409300000005;high
1431839.txt;4;1;5;3;4;0;2;2.2810513400000003;high
1447041.txt;2;2;5;3;5;0;1;1.19290758;low
1449555.txt;3;2;5;4;5;0;1;1.5580202100000002;low
1453563.txt;3;1;5;4;5;0;3;1.8696071900000004;high
1469088.txt;3;1;5;4;3;0;2;1.6970317200000005;low
1599482.txt;3;2;5;3;5;0;1;1.6379082800000002;low
1604419.txt;1;2;5;3;5;0;1;0.74790688;low
162639.txt;3;1;5;3;5;0;3;1.9494952600000004;high
1648484.txt;2;0;5;5;4;0;1;1.3799194700000004;low
1691426.txt;3;2;1;1;3;0;1;1.2006057200000002;low
1693042.txt;3;1;5;2;3;0;3;1.9111216300000002;high
1703761.txt;2;1;5;5;3;0;3;1.2264567199999998;low
1723586.txt;3;1;5;4;4;0;3;1.8104763400000006;high
1728162.txt;3;1;5;1;4;0;1;1.9415130100000004;high
1784031.txt;1;2;5;3;3;0;2;0.68395895;low
1790750.txt;2;1;3;4;5;0;1;1.0765704500000002;low
1804641.txt;2;2;3;4;4;0;2;0.8687939299999999;low
1812668.txt;2;1;5;4;3;0;1;1.19771725;low
1813924.txt;3;2;5;4;3;0;1;1.43975851;low
1827588.txt;3;0;5;3;5;0;3;2.1524547000000003;high
1834502.txt;3;1;5;2;5;0;3;2.0293833300000004;high
1851482.txt;2;1;5;4;3;0;3;1.3063447899999998;low
186616.txt;3;1;5;3;5;0;2;1.8951814900000006;high
1876159.txt;3;1;5;4;3;0;3;1.7513454900000003;high
1897285.txt;1;1;5;5;5;0;1;0.7910901800000001;low
1942513.txt;3;1;5;3;4;0;4;1.9446781800000004;high
1949465.txt;4;2;5;2;5;0;2;2.2171108200000003;high
1971958.txt;3;2;5;4;5;0;2;1.6123339800000003;low
1974703.txt;1;0;5;4;5;0;1;1.0739376900000002;low
1985615.txt;3;1;5;4;5;0;3;1.8696071900000004;high
206667.txt;3;2;3;3;3;0;2;1.3345518500000002;low
216672.txt;1;0;5;5;5;0;1;0.9940496200000002;low
219983.txt;2;1;5;4;5;0;2;1.3702927200000001;low
230893.txt;3;1;5;4;3;0;1;1.6427179500000004;low
232159.txt;3;1;3;3;3;0;1;1.4831975200000003;low
248917.txt;2;1;5;4;5;0;2;1.3702927200000001;low
265349.txt;3;1;5;4;3;0;3;1.7513454900000003;high
279212.txt;3;2;5;2;5;0;4;1.88073766;high
302140.txt;3;0;5;3;4;0;3;2.0933238500000004;high
338351.txt;3;1;5;2;4;0;2;1.9159387100000005;high
339615.txt;3;3;5;2;3;0;3;1.50520275;low
345396.txt;2;2;5;5;3;0;2;0.9691835099999999;low
373416.txt;3;1;5;4;5;0;1;1.7609796500000006;high
38209.txt;3;1;5;3;3;0;4;1.8855473300000003;high
392518.txt;2;1;5;5;1;0;2;1.05388125;low
395987.txt;5;2;5;3;3;0;2;2.46396175;high
404521.txt;2;1;3;4;5;0;3;1.1851979900000003;low
412197.txt;3;1;5;2;3;0;4;1.9654354000000003;high
425198.txt;2;1;5;4;1;0;1;1.07945555;low
449267.txt;3;2;5;2;4;0;2;1.7129792700000002;low
450359.txt;2;0;5;2;3;0;2;1.6147666000000003;low
496928.txt;2;1;5;4;3;0;2;1.25203102;low
526827.txt;2;1;5;4;4;0;1;1.2568481;low
52951.txt;3;2;5;3;5;0;5;1.8551633600000002;high
535573.txt;3;1;3;3;5;0;4;1.7644005300000003;high
562823.txt;2;1;5;4;5;0;1;1.31597895;low
586583.txt;2;1;5;5;5;0;2;1.2904046500000002;low
589458.txt;1;1;5;4;5;0;1;0.8709782500000001;low
594970.txt;3;1;5;3;5;0;3;1.9494952600000004;high
599905.txt;3;1;5;3;3;0;3;1.8312335600000003;high
609558.txt;3;1;5;1;3;0;3;1.9910097000000002;high
618384.txt;3;1;5;4;3;0;1;1.6427179500000004;low
643139.txt;3;3;3;4;4;0;4;1.2194627299999998;low
644250.txt;2;3;5;4;3;0;2;0.84611214;low
656695.txt;3;1;5;2;5;0;2;1.9750695600000006;high
661830.txt;2;2;5;4;4;0;2;1.10820243;low
67346.txt;4;1;5;3;3;0;3;2.2762342600000003;high
711394.txt;3;1;5;2;4;0;2;1.9159387100000005;high
71654.txt;4;1;5;3;4;0;2;2.2810513400000003;high
716766.txt;3;1;5;4;5;0;1;1.7609796500000006;high
746257.txt;2;1;5;5;4;0;2;1.2312738;low
749940.txt;2;0;5;4;5;0;2;1.5732521600000005;low
755753.txt;3;1;5;3;3;0;3;1.8312335600000003;high
757891.txt;3;1;5;3;4;0;3;1.8903644100000006;high
